"","country","project","course","id","year","month","date","gradient","site","treatment","plot_id","functional_group","family","taxon","genus","species","individual_nr","trait","value","flag","burn_year","latitude","longitude","elevation"
"1","PE",TRUE,"PFTC5","ADY1845",2020,"March","2020-03-12T00:00:00Z",1,"ACJ","C",1,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,"sla_cm2_g",84.3844492440605,NA,NA,-13.176034,-71.628828,3487.4
"2","PE",TRUE,"PFTC5","ADZ3452",2020,"March","2020-03-12T00:00:00Z",1,"ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,"sla_cm2_g",133.806451612903,NA,NA,-13.176252,-71.628819,3492.4
"3","PE",TRUE,"PFTC5","AEO9502",2020,"March","2020-03-12T00:00:00Z",1,"ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,"leaf_area_cm2",5.404,NA,NA,-13.176252,-71.628819,3492.4
"4","PE",TRUE,"PFTC5","AAE4190",2020,"March","2020-03-12T00:00:00Z",1,"ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,"dry_mass_g",0.0373,NA,NA,-13.176252,-71.628819,3492.4
"5","PE",TRUE,"PFTC5","AEP3671",2020,"March","2020-03-12T00:00:00Z",1,"ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,"wet_mass_g",0.137,NA,NA,-13.176252,-71.628819,3492.4
"6","PE",TRUE,"PFTC5","AUZ0851",2020,"March","2020-03-12T00:00:00Z",1,"ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,"plant_height_cm",7,NA,NA,-13.176252,-71.628819,3492.4
"7","PE",TRUE,"PFTC5","AUZ0851",2020,"March","2020-03-12T00:00:00Z",1,"ACJ","C",5,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",1,"leaf_thickness_mm",0.292,NA,NA,-13.176252,-71.628819,3492.4
"8","PE",TRUE,"PFTC5","AEC5667",2020,"March","2020-03-12T00:00:00Z",1,"ACJ","C",2,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",1,"sla_cm2_g",160.512820512821,NA,NA,-13.1761,-71.628834,3487.7
"9","PE",TRUE,"PFTC5","AVU1713",2020,"March","2020-03-12T00:00:00Z",1,"ACJ","C",2,"Forb","Rosaceae","Lachemilla orbiculata","Lachemilla","orbiculata",2,"sla_cm2_g",80.5860805860806,NA,NA,-13.1761,-71.628834,3487.7
"10","PE",TRUE,"PFTC5","ATO7404",2020,"March","2020-03-12T00:00:00Z",1,"ACJ","C",4,"Forb","Gentianaceae","Halenia umbellata","Halenia","umbellata",2,"dry_mass_g",0.0178,NA,NA,-13.176195,-71.628844,3490
