year,season,month,site,treatment,plot_id,individual_nr,leaf_id,id,functional_group,family,taxon,trait,value,burn_year,elevation,latitude,longitude,course
2018,wet_season,March,QUE,B,3,5,NA,DAV4239,Graminoid,Cyperaceae,Carex boliviensis,plant_height_cm,7,2005,3890,-13.214201,-71.619384,PFTC3
2018,wet_season,March,QUE,B,3,5,NA,DAV4239,Graminoid,Cyperaceae,Carex boliviensis,wet_mass_g,0.025,2005,3890,-13.214201,-71.619384,PFTC3
2018,wet_season,March,QUE,B,3,5,NA,DAV4239,Graminoid,Cyperaceae,Carex boliviensis,dry_mass_g,0.01,2005,3890,-13.214201,-71.619384,PFTC3
2018,wet_season,March,QUE,B,3,5,NA,DAV4239,Graminoid,Cyperaceae,Carex boliviensis,leaf_area_cm2,1.212,2005,3890,-13.214201,-71.619384,PFTC3
2018,wet_season,March,QUE,B,3,5,NA,DAV4239,Graminoid,Cyperaceae,Carex boliviensis,sla_cm2_g,48.48,2005,3890,-13.214201,-71.619384,PFTC3
2018,wet_season,March,QUE,B,3,5,NA,DAV4239,Graminoid,Cyperaceae,Carex boliviensis,ldmc,0.39999999999999997,2005,3890,-13.214201,-71.619384,PFTC3
2018,wet_season,March,QUE,B,3,5,NA,DAV4239,Graminoid,Cyperaceae,Carex boliviensis,leaf_thickness_mm,0.197,2005,3890,-13.214201,-71.619384,PFTC3
2018,wet_season,March,TRE,C,2,3,NA,CCE2112,Woody,Hypericaceae,Hypericum andinum,plant_height_cm,49,NA,3714.8,-13.119733,-71.62081,PFTC3
2018,wet_season,March,TRE,C,2,3,NA,CCE2112,Woody,Hypericaceae,Hypericum andinum,wet_mass_g,3.5e-4,NA,3714.8,-13.119733,-71.62081,PFTC3
2018,wet_season,March,TRE,C,2,3,NA,CCE2112,Woody,Hypericaceae,Hypericum andinum,dry_mass_g,2.5e-4,NA,3714.8,-13.119733,-71.62081,PFTC3
2018,wet_season,March,TRE,C,2,3,NA,CCE2112,Woody,Hypericaceae,Hypericum andinum,leaf_area_cm2,0.027750000000000004,NA,3714.8,-13.119733,-71.62081,PFTC3
2018,wet_season,March,TRE,C,2,3,NA,CCE2112,Woody,Hypericaceae,Hypericum andinum,sla_cm2_g,79.28571428571429,NA,3714.8,-13.119733,-71.62081,PFTC3
2018,wet_season,March,TRE,C,2,3,NA,CCE2112,Woody,Hypericaceae,Hypericum andinum,ldmc,0.7142857142857143,NA,3714.8,-13.119733,-71.62081,PFTC3
2018,wet_season,March,TRE,C,2,3,NA,CCE2112,Woody,Hypericaceae,Hypericum andinum,leaf_thickness_mm,0.07250000000000001,NA,3714.8,-13.119733,-71.62081,PFTC3
2018,wet_season,March,QUE,B,1,1,NA,CGG3537,Graminoid,Cyperaceae,Carex boliviensis,plant_height_cm,10,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,1,1,NA,CGG3537,Graminoid,Cyperaceae,Carex boliviensis,wet_mass_g,0.02,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,1,1,NA,CGG3537,Graminoid,Cyperaceae,Carex boliviensis,dry_mass_g,0.013,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,1,1,NA,CGG3537,Graminoid,Cyperaceae,Carex boliviensis,leaf_area_cm2,1.661,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,1,1,NA,CGG3537,Graminoid,Cyperaceae,Carex boliviensis,sla_cm2_g,83.05,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,1,1,NA,CGG3537,Graminoid,Cyperaceae,Carex boliviensis,ldmc,0.6499999999999999,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,1,1,NA,CGG3537,Graminoid,Cyperaceae,Carex boliviensis,leaf_thickness_mm,0.15533333333333332,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,1,3,NA,CDU8518,Graminoid,Poaceae,Polypogon sp,plant_height_cm,3,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,1,3,NA,CDU8518,Graminoid,Poaceae,Polypogon sp,wet_mass_g,0.0015,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,1,3,NA,CDU8518,Graminoid,Poaceae,Polypogon sp,dry_mass_g,6.000000000000001e-4,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,1,3,NA,CDU8518,Graminoid,Poaceae,Polypogon sp,leaf_area_cm2,0.0669,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,1,3,NA,CDU8518,Graminoid,Poaceae,Polypogon sp,sla_cm2_g,44.6,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,1,3,NA,CDU8518,Graminoid,Poaceae,Polypogon sp,ldmc,0.4,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,1,3,NA,CDU8518,Graminoid,Poaceae,Polypogon sp,leaf_thickness_mm,0.124,2005,3882.9,-13.213786,-71.619294,PFTC3
2018,wet_season,March,QUE,B,5,3,NA,CUF3910,Graminoid,Poaceae,Polypogon sp,plant_height_cm,8,2005,3893.1,-13.214258,-71.619377,PFTC3
2018,wet_season,March,QUE,B,5,3,NA,CUF3910,Graminoid,Poaceae,Polypogon sp,wet_mass_g,0.0033333333333333335,2005,3893.1,-13.214258,-71.619377,PFTC3
2018,wet_season,March,QUE,B,5,3,NA,CUF3910,Graminoid,Poaceae,Polypogon sp,dry_mass_g,0.0016666666666666668,2005,3893.1,-13.214258,-71.619377,PFTC3
2018,wet_season,March,QUE,B,5,3,NA,CUF3910,Graminoid,Poaceae,Polypogon sp,leaf_area_cm2,0.218,2005,3893.1,-13.214258,-71.619377,PFTC3
